Summary:
Estimated Reach,15519
Impressions,60156
Tweets,100
Contributors,26

Activity:
Period,Tweets
2017-05-20 01:00 UTC,5
2017-05-20 02:00 UTC,4
2017-05-20 03:00 UTC,3
2017-05-20 04:00 UTC,2
2017-05-20 05:00 UTC,0
2017-05-20 06:00 UTC,0
2017-05-20 07:00 UTC,1
2017-05-20 08:00 UTC,1
2017-05-20 09:00 UTC,0
2017-05-20 10:00 UTC,0
2017-05-20 11:00 UTC,0
2017-05-20 12:00 UTC,14
2017-05-20 13:00 UTC,15
2017-05-20 14:00 UTC,22
2017-05-20 15:00 UTC,12
2017-05-20 16:00 UTC,9
2017-05-20 17:00 UTC,11
2017-05-20 18:00 UTC,1

Tweet Types:
Type,Count
Regular,48
Replies,21
Retweets,31

Exposure:
Range,Count
0-99 Followers,53
100-999 Followers,19
1000-9999 Followers,28
10000-99999 Followers,0
100000+ Followers,0

Contributors:
Id,Screen_Name,Tweets,Mentions,Retweets,Impressions,URL
2655323822,alittlestats,15,2,1,23625,http://twitter.com/alittlestats
300803303,askdrstats,12,6,5,17733,http://twitter.com/askdrstats
184543773,stat110,1,0,0,8747,http://twitter.com/stat110
15637342,RickyCorp,35,5,5,2109,http://twitter.com/RickyCorp
379496137,RussellMath,5,3,2,1990,http://twitter.com/RussellMath
2330775930,drsxr,1,0,0,1699,http://twitter.com/drsxr
19467131,johnsonll,2,0,0,784,http://twitter.com/johnsonll
115741819,jarangochoa,1,0,0,545,http://twitter.com/jarangochoa
235598667,Marius_Stroe,1,0,0,487,http://twitter.com/Marius_Stroe
4145713119,realHarryCrane,1,0,0,388,http://twitter.com/realHarryCrane
305435784,old_man_chester,2,4,0,370,http://twitter.com/old_man_chester
28562179,nvergos,1,0,0,293,http://twitter.com/nvergos
3199856542,apreshill,1,0,0,230,http://twitter.com/apreshill
738193333,YanwuGuo,1,0,0,180,http://twitter.com/YanwuGuo
85836448,arnabbiswas1,1,0,0,179,http://twitter.com/arnabbiswas1
477060334,WendineBolon,8,0,0,176,http://twitter.com/WendineBolon
565702875,J_P_Raymond,1,0,0,168,http://twitter.com/J_P_Raymond
469032850,mhiggins2000,1,0,0,135,http://twitter.com/mhiggins2000
1596618625,PeterBChi,1,0,0,125,http://twitter.com/PeterBChi
348152742,duffmanbrown,1,0,0,103,http://twitter.com/duffmanbrown
4856823812,erol_ejm12,1,1,1,24,http://twitter.com/erol_ejm12
750733280849256448,ambika_silva,1,0,0,18,http://twitter.com/ambika_silva
1083843631,___paddy___,1,0,0,16,http://twitter.com/___paddy___
397750859,gretahswanson,2,0,0,14,http://twitter.com/gretahswanson
15170063,xburns,2,0,0,11,http://twitter.com/xburns
865654936041791495,Samanth25664691,1,0,0,7,http://twitter.com/Samanth25664691

Tweets:
Id,Screen_Name,Text,Time,Retweets,Impressions,URL 
865995958533992449,alittlestats,Larry Lesser: ELL-friendly teaching practices can help *all* students [in Helping ELL's Navigate Probability Vocab. &amp; Concepts]. #USCOTS17,2017-05-20 18:21 UTC,0,1575,http://twitter.com/alittlestats/statuses/865995958533992449 
865990219652358147,RickyCorp,#uscots17,2017-05-20 17:58 UTC,0,62,http://twitter.com/RickyCorp/statuses/865990219652358147 
865987254468169729,RickyCorp,My cell phone camera is internally dirty. Sorry #uscots17,2017-05-20 17:47 UTC,0,62,http://twitter.com/RickyCorp/statuses/865987254468169729 
865986873646358528,RickyCorp,Stats terms in 29+ languages https://t.co/RnW9erfelQ #uscots17,2017-05-20 17:45 UTC,0,62,http://twitter.com/RickyCorp/statuses/865986873646358528 
865986467608367107,RickyCorp,Asymmetrical random event. Not every outcome is equally likely. #multicultural #UScots17 https://t.co/k5oz8MBFQV,2017-05-20 17:43 UTC,0,62,http://twitter.com/RickyCorp/statuses/865986467608367107 
865986022320091137,RickyCorp,"Heads and tails might be a struggle for EL students, ""draw a card"", ""fair die"" would not be recognizable. #uscots17",2017-05-20 17:42 UTC,0,62,http://twitter.com/RickyCorp/statuses/865986022320091137 
865985578860498948,RickyCorp,"Culturally Relevant games: Toma Toda, la lotería, ect. vs card games #uscots17",2017-05-20 17:40 UTC,0,62,http://twitter.com/RickyCorp/statuses/865985578860498948 
865985278778986501,RickyCorp,"Culture: Card playing, sport, notation, randomness #uscots17",2017-05-20 17:39 UTC,0,62,http://twitter.com/RickyCorp/statuses/865985278778986501 
865984889862197248,RickyCorp,2nd presentation I've seen using this #uscots17 https://t.co/bm47A7SMcF,2017-05-20 17:37 UTC,0,62,http://twitter.com/RickyCorp/statuses/865984889862197248 
865984578246279169,RickyCorp,"Teaching English Languge Learners #uscots17 
https://t.co/NAkEQnvQ5o",2017-05-20 17:36 UTC,0,62,http://twitter.com/RickyCorp/statuses/865984578246279169 
